,y_test,Random Forest,SVM,Extra Trees,Logistic Regression,Random Forest_proba,SVM_proba,Extra Trees_proba,Logistic Regression_proba
0,0,0,0,0,0,0.27,0.000882717448547483,0.09,0.4709631597939618
1,1,1,1,1,1,0.975,0.992257050508848,0.9625,0.9990447992006186
2,0,0,0,0,0,0.0,0.0011225505508548534,0.0,0.00022806602139674394
3,0,0,1,1,1,0.435,0.9871239808005166,0.52,0.5307292480720902
4,0,0,0,0,0,0.0,0.0026219344519470542,0.0,0.0052574374276377015
5,0,0,0,0,0,0.0,1.0000000994736041e-07,0.0,7.021894448393691e-06
6,0,0,0,0,0,0.01,2.022976569322962e-05,0.0025,0.0037850191354728787
7,1,1,1,1,1,0.7,0.9820003296505001,0.66,0.9823379563956786
8,0,0,0,0,0,0.0,2.2320202149597873e-05,0.0125,0.003436588607110155
9,0,0,0,0,0,0.0,3.861552652070892e-05,0.0,5.586302059091823e-06
10,0,0,0,0,0,0.0,0.0012064641148275873,0.0,0.00042486547835083894
11,0,0,0,0,0,0.005,2.734060626428952e-05,0.0025,0.007339714189508627
12,0,0,0,0,0,0.0,2.1831498412438385e-06,0.0,0.0007345781190154884
13,0,0,0,0,0,0.025,7.628675170669415e-05,0.03,0.06276627141301283
14,0,0,0,0,0,0.035,0.00018779061679288068,0.0,0.07341635681539493
15,0,0,0,0,0,0.0,1.991957394940858e-06,0.0,5.437456773331299e-06
16,0,0,0,0,0,0.005,0.00045234305926980674,0.015,0.0023216705499224314
17,0,0,0,0,0,0.0,0.0020409890104453065,0.0,0.001753247560380498
18,0,0,0,0,0,0.005,1.2865717514610412e-07,0.0,0.0024797319901264767
19,0,0,0,0,0,0.0,0.00045401944169332065,0.0025,0.002226652514243805
20,0,0,0,0,0,0.0,1.1761643241718806e-06,0.0025,4.980228959325536e-06
21,0,0,0,0,0,0.0,5.809960362176515e-07,0.0025,0.0007678233404299793
22,0,0,0,0,0,0.0,0.004110630865911658,0.0,0.03133198682157387
23,0,0,0,0,0,0.0,3.423668636124392e-06,0.0,3.711513594034502e-05
24,1,1,1,1,1,0.945,0.9999999341077898,0.9725,0.9991745579739045
25,1,1,1,1,1,0.795,0.9999987173864354,0.805,0.9976061063899349
26,0,0,0,0,0,0.01,0.0009328169804380633,0.015,0.028093080832627116
27,0,0,0,0,0,0.025,6.974977870413267e-05,0.065,0.00013191808388773394
